"","1","2","ctRep$cellSource","ctRep$kmeans.cluster","ctRep$age","ctRep$patient","ctRep$probe","ctRep$cellType","kmeans.cluster.1","ITGB1","GSK3B","HPRT","GSK3A","PTEN","HIF1A","IRF2","STAT3","LY6E","JAK1","VEGFA","PTK2","TIMP2","ACVR1","STAT1","PDL-1","IRF1","VEGFB","JAK2","SOCS3","NFKB1","PDGFA","GAPDH","IFNGR1","WNT4","TRAF2","CSF1","FGFR1","KLF5","TNFRSF1A","CSF2RA","INS1","ANPEP","NFATC1","FYN","IAPP","TLR3","BCL6","STAT5","CD44","IFIT1","EGFR","SPP1","IL4RA","CD83","CD74","NUR77","OAS1B","LY75","PDGFB","TNFAIP3","MAP2K6","IRF7","GCG","SST","TNFRSF1B","CD40","OAS2","H2-AA","PPARGC1A","H2-DMA","RSAD2","CD24A","BCL2","TLR4","COL11A1","ICAM1","PPARG","INS2","IFIT3","SFRP1","VCAM1","MX1","IFI44","ICOSL","ANGPT1","PPY","CCR2","TGFB1","TGFBR2","IGF2","COL1A1","CD36","FLT4","PDPN","IL7","MMP9","MMP2","CD14","IGF1","ZEB2","FGR","CEACAM1","BMP5","COL1A2","LEPR","GHRL","AIM2","TEK","CD86","STAT4","TNFSF11","PTGS2","OASL1","IL25","IL18R1","IL34","IL12RB","LCK","MAPK8","IL1R2","ITGAX","CCR6","FGFR3","VAV1","DES","TIMP1","CXCL10","FAP","IL-21","MMP3","ZAP70","GFAP","TNC","SELE","ISG15","CXCL13","KDR","ADGRE1","CD80","CXCR3","IL6","NLRP3","TBX21","CLEC7A","CTLA4","FOXP3","IL1B","ICOS","GATA4","PDGFRB","CD8A","GM13889","IL27R","BMP7","TLR7","CSF2RB","CSF1R","TLR9","IL1A","PECAM1","TNF"
"16",-5.59088893762479,0.968608478705088,"tissue",2,"islets","23","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_23_IS_doublet_none_B11",2,0,0,0,3.66045943,0,0,0,0,6.09555959,0,0,0,0,0,0,0,5.8259598,0,0,0,3.68237104,0,12.30980896,0,0,0,0,0,0,0,0,0,0,0,0,5.8081600275858,0,0,0,0,0,0,3.6077481426124,0,0,2.4991962986717,0,0,0,0,0,0,0,10.2221853396084,9.9808150882723,6.7712716,3.48888229,0,3.5377021381297,0,0,0,0,0.319369080000001,0,0,0,0,15.1852206733059,6.23246903,0,0,0,8.22588705,0,0,1.4736963915694,9.64876666,0,0,6.9553821273678,0,0,0,0,0,0,0,7.166344823433,0,5.06485666,0,0,0,0,0,5.9510401247935,0,0,0,0,0,0,0,4.29159585,0,0,0,0,0,0,8.540307597272,8.35532944,0,0,8.3047632967439,5.9434022712729,5.37435702,0,0,0,0,0,6.2188183929811,0,3.61220787,8.370670251328,0,0,0,0,0,0,0,0,0,0,2.9758645502689,0,0,0,2.5866002551227,0,0,0,2.4296337260379,3.9084155537753,0,0,0,0,3.68281036
"20",-5.45835824838529,0.62986526886622,"tissue",2,"islets","27","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_27_IS_doublet_none_C3",2,0,8.04091485,0,0,0,0.105755462842001,0,0,9.12947606,0,0,0,0,0,0,0,5.62352733,0,0,0,6.79750196,0,12.37730606,0,0.317947108031799,0,0,1.2218504499421,0,3.00259699,0,4.7984783726087,0,0,0,6.9525743475884,0,0,4.66224442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8550363129682,10.9504678512777,0,0,0,5.2894295902463,0,6.4278686622216,0,0,5.00900457,0,0,1.38180324,0,13.1954978509502,10.11646387,0,0,0,7.8411499,0,0,0.223569454528999,9.5870935,0,0,0,4.6184468532962,0,0,0,0,3.5551477757965,0,3.3186811762056,0,0,0,0,0,0,0,7.2380156273278,0,0,0,0,0,6.4262498851186,0,6.56796784,0,0,0,0,0,0,6.2303220783705,8.68338478,0,0,8.0079351543769,0.7411294866011,6.61509994,0,0,0,0,0,7.0316471459855,0,2.8375256,7.0628425471169,0,0,0,0,0,0,0,0,0,0,1.4785158392017,0,0,0,2.72596277113015,0,0,4.7109570929762,2.9719574399147,7.1588207108353,0,0,0,0,0
"32",-6.34103252521406,0.0502410928408299,"tissue",2,"islets","38","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_38_IS_doublet_none_D2",2,0,0,0,9.63004214,0,0,0,6.37137975,7.29197215,0,4.754452030621,0,0,0,0,0,7.93656843,0,0,0,7.66632238,0,12.81180755,0,0.952921884814,0,0,0,0,1.51673642,0,2.4275805802,0,0,0,6.9291631597798,0,0,4.54097827,0,0,0,0,0,0,5.0973885947276,0,0,0,0,0,0,0,0,0,0,4.81210917,0,0,0,8.1674443996431,0,5.2352464225109,4.14453069,0,0,1.5545894511904,0,15.0410297335635,7.04673717,0,0,0,8.10013233,0,0,0,8.21084336,0,0,0,2.487673944944,0,0,0,0,0,0,0.0361205359447005,1.0277178124844,0,0,0,0,0,0,6.1243017555822,0,0,0,0,0,1.9048253441213,0.74409665,4.5135029,0,0,0,0,0,0,0,9.43305793,7.2158604319804,6.64023056,1.5606109718735,6.3267521367417,7.3104583,0,0,0,0,1.6511030260198,7.4168170823744,0,7.41820896,8.1683810539994,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3155472538501,1.7308177866726,0,0,0,3.9677336014484,5.3948249128966,7.4825176956233,0,0,0,0
"11",-5.7367810808743,0.208788494269053,"tissue",2,"islets","19","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_19_IS_doublet_none_B7",2,0,0,0,0,0,0,0,4.39114084,7.51294771,0.259579309999999,0,0,0,0,0,0,6.92045197,0,0,0,0,0,13.02892374,0,5.4461930670142,0,0,2.44763118193,0,0.0418480400000014,0,0,0,0,0,3.5209136922855,0,0,0,0,0,0,0.993658949826202,0,0,4.3912263765753,0,0,0,0,0,0,0,6.7726240537901,8.8099041764567,0,0,0,7.5330848332861,0,7.3032875173259,0,7.1500667014426,5.87766021,0,0,3.3382835612481,0,13.5659429130015,9.98397242,0,0,0,8.80740071,0,0,0,8.11474745,0,0,2.0403186446155,3.0650514978666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.659859689634,0,0,0,0,0,8.3959075745158,0,0,0,0,0,0,0,0,0,9.23674713,6.1270386184449,5.58062271,7.8760056950676,0,7.18763585,0,0,0,0,0,8.7745662223265,1.7694197179624,9.26184319,8.8875323614179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14923712254235,3.8339249924676,0,0,0,3.8362272266193,5.7821236037281,0,3.1238877398641,0,3.59003237
"78",-5.66672321191678,0.0729013482729588,"tissue",2,"islets","8","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_8_IS_doublet_none_A8",2,0,0,0,0,8.4325571,0,0,0,8.86868469,0,8.284484439162,0,0,0,0,0,5.59315363,0,0,1.84241106,7.40089459,0,13.21629426,0,0,0,0,5.8654232986716,0,0,0,0,0,0,0,4.7806566021917,0,0,3.82311026,0,0,0,0,0,0,6.680348585406,0,0,0,0,0,0,3.97732043,0,11.6234636235813,2.89287291,0,0,7.1333710005574,0,5.0554371101751,0,4.377318645084,4.72991082,0,0,0,0,14.4375112829115,8.38098422,0,0,0,9.06803181,0,0,1.8752186789067,9.00390089,0,0,5.1830169486538,0,0,0,0,0,0,0,7.4367933463574,0.359523156152601,0,0,0,0,0,0,4.8095163235966,0,0,0,0,0,6.6148987317085,0,5.27860112,0,0,0,0,0,0,7.4703840755704,9.08806665,0,2.23898064,7.8219418782622,3.0815858284717,1.12098829,0,0,0,0,0,6.05944483475,0,8.11932142,7.4155726051991,0,0,0,0,0,0,0,0,0,0,0,0.270139969999999,0,0,0.277784617453801,0,0,0,1.1869578056641,6.0563218588228,5.8464599242219,0,0,0,2.67632049
"73",-6.47481336227308,0.486526111761728,"tissue",2,"islets","75","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_75_IS_doublet_none_G3",2,0,6.3094372,0,1.65616983,9.94780714,0,7.05999613,0,7.84806687,8.08171578,12.1253784268432,0,0,0,0,0,5.37362629,3.1303598389892,0,0,6.92708722,9.3026662553386,12.90944758,0,4.1018319421889,0,0,4.479987328149,0,0.28193813,0,5.8735923330114,2.2804656443977,6.8316276878199,0,9.6721481956235,0,0,3.08778913,0,0,0,0,0,0,7.8609268143435,0,0,0,0,0,0,2.85034491,1.2787844546948,1.4151727281982,5.2154654,0.317848219999998,0,3.3850820582934,0,0,0,6.9251292467317,0,0,0.2301374058103,2.30874907,0,18.1916576178975,9.06855795,0,0,0,0,0,0,0,7.34152781,0,0,5.4185392873423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8749402502124,0,0,0,0,0,0,0,0,0,9.13023851,0,1.36559652,7.6803638064622,0,0,0,0,0,0,0,6.5725488188632,0,6.95493792,8.1769833090137,0,0,0,0,0,0,0,0,0,0,1.9494217391062,0,0,1.4548050354007,2.1913467191895,0,0,0,0,0.933423838383,5.2851958184083,0,0,0,0
"42",-5.1626764141644,0.293706516424814,"tissue",2,"islets","47","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_47_IS_doublet_none_D11",2,0,0,0,0.558340640000001,0,0,0,3.03343466,8.67652543,0.583540939999999,0,0,0,0,0,0,4.98004417,0,0,0,8.92783282,0,12.64743187,0,1.6712954885454,0,0,3.9530112773802,0,2.29775843,0,3.2968831241344,5.3841411741297,0,0,4.7943577508203,0,0,0,0,0,0,0,0,0,4.3012566250434,0,0,0,0,0,0,3.52756076,7.5317904856604,13.8250394535964,7.15909852,1.90813142,0,7.8248495640389,0,0,0,5.326654396682,6.00546554,0,0.122056870402599,0,0,13.7391930310765,9.78875772,0,0,0,4.93162525,0,0,1.893912512773,8.62331723,0,0,5.7482620909433,3.9623605593935,0,0,0,0,2.3786804993941,0,5.1502865759731,0,0,0,0,0,0,0,5.3398301598914,0,0,0,0,0,6.6141647567768,1.80327506,5.45182805,0,0,0,0,0,0,6.3915089083868,8.45211884,0,6.36986141,6.0353830331304,2.7791924746166,7.9928256,0,0,0,0,0,3.5399224734559,2.790132524608,7.22220183,6.928952227172,0,0,0,0,0,0,0,0,0,0,5.4053082299864,0,0,0,1.67389436589085,7.0072283907488,0,0,6.5943073295543,4.1103010346549,0,0,0,0,1.87955458
"34",-6.39600851169477,-0.370111842950186,"tissue",2,"islets","4","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_4_IS_doublet_none_A4",2,0,0,0,0,0,0,0,4.08448416,6.79311208,0,0,0,0,0,0,0,7.3364245,0,0,0,4.94248872,0,13.74202103,0,1.5855332846462,0,0,6.8996545950932,0,2.10540845,0,5.2699841155766,2.3921579275567,0,0,5.7974165750857,0,0,2.69775486,0,0,0,1.2249403460157,0,0,6.3597202816712,0,0,0,0,0,0,5.80029923,1.6895670785175,0,0,0,0,8.9327940817397,0,0,0,7.0433949993487,0,0,0.1011146484793,2.68873129305035,0,12.517823572319,9.70093058,0,0,0,10.08562613,0,0,0,9.9967697,0,0,0,3.4391672971441,0,0,0,0,0,0,8.7088092250905,0,0,0,0,0,0,0,7.8693593674084,0,0,0,0,0,5.6012802171713,0,6.22846751,0,0,0,0,0,0,6.9971322583914,8.26821467,8.1098083282805,7.23392552,8.6659637458126,6.2889028256106,7.07766283,0,0,0,0,0,3.4026128267554,1.3889346656777,9.33491893,8.1394598866245,0,0,0,0,0,0,0,0,0,0,3.0361840363873,0,0,0.304712452831801,3.5815967594406,6.9100935529955,0,0,6.5869089151287,0,7.3539406781952,0,0,1.7053540169244,5.13877722
"56",-5.32328947416196,-0.0982889135678615,"tissue",2,"islets","6","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_6_IS_doublet_none_A6",2,0,0,0,0.458084159999999,0,0,0,4.42612756,8.672099,0,4.7442747521373,0,0,0,0,0,6.41225064,2.4456659588679,0,0,7.49115838,0,14.111124321,0,2.5167826420137,0,0,6.2170250272099,0,1.24377992,5.6072595644489,5.8462020586998,4.023708650296,0,0,0,0,0,5.82432537,0,0,0,0,0,0,5.7132860963726,0,0,0,0.0506887160995007,0,0,5.2972452,10.1883572042852,6.8500890716587,4.86521875,0,0,6.9117037703332,0,6.4849969065286,0,6.7139266993392,6.01538623,0,0.0314256415982008,0,0,12.9105908622323,10.98512671,0,0,0,8.69208458,0,0,0,8.85662816,0,0,5.0705772951279,0.874024249729501,0,0,0,0,0,0,7.7135053537526,0,0,0,0,0,0,0,7.1862559996251,0,0,0,0,0,6.0106371129218,0,2.75418171,0,0,0,0,0,0,5.6771715663867,9.41028032,7.0552988217415,8.00583748,8.5646322939879,1.8486906616255,8.64132612,0,0,0,0,0,7.0140210208605,0,8.758428,6.6291968548748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4810260827813,0,0,2.9409919322856,8.1414013550779,7.3481601040732,0,0,0,4.81132785
"22",-5.68665619722257,-0.232519527276358,"tissue",2,"islets","29","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_29_IS_doublet_none_C5",2,0.884576816651599,0,0,1.25879588,0.15823996,0,0,0,8.57052761,0.442227370000001,0,0,0,0,0,0,7.56662208,0,0,0,5.44594628,0,13.78646756,0,5.1500605021645,0,0,7.4813437032006,0,1.90273888,0,0,2.9205295147687,0,0,5.5848303009295,0,0,4.44774036,0,0,0,0,0,0,7.7202938828548,0,0,0,0,0,0,4.93369882,7.7008886168954,3.740736065855,4.51134141,0,0,5.4782963175542,0,5.6507028863368,0,4.7837779704835,4.26593449,0,0,4.88856942162915,0,14.0143976054623,10.44517048,0,0,0,8.78734879,0,0,0,9.66693543,0,0,5.918386773634,2.7151569036882,0,0,0,0,2.2076130150628,0,8.3933066126341,0,0,0,0,0,0,0,7.6845226928752,0,0,0,0,0,7.4941214484924,0,3.7827245,0,0,0,0,0,0,5.8120449723523,7.40471519,8.15487786234,7.68192206,8.2187750002105,5.7202595124338,6.65031798,0,0,0,0,2.3892386786053,7.0222954023626,0,8.47072281,7.924085381117,0,0,0,0,0,0,0,0,0,0,1.878138253047,0,0,0,4.14891459354385,6.2443713559473,0,0,5.0874407036467,6.3646202664148,8.1267603245522,0,0,1.4100420441752,4.08306365
