"","cluster","variable","value","pos","count"
"209","5","25",0,0,""
"210","6","25",0,0,""
"211","1","78",0,1,""
"212","2","78",1,0.5,""
"213","3","78",0,0,""
"214","4","78",0,0,""
"215","5","78",0,0,""
"216","6","78",0,0,""
"217","1","69",0,1,""
"218","2","69",0,1,""
"219","3","69",0,1,""
"220","4","69",0,1,""
"221","5","69",1,0.5,""
"222","6","69",0,0,""
"223","1","67",0,1,""
"224","2","67",1,0.5,""
"225","3","67",0,0,""
"226","4","67",0,0,""
"227","5","67",0,0,""
"228","6","67",0,0,""
"229","1","15",0,1,""
"230","2","15",1,0.5,""
"231","3","15",0,0,""
"232","4","15",0,0,""
"233","5","15",0,0,""
"234","6","15",0,0,""
"235","1","39",0,1,""
"236","2","39",0,1,""
"237","3","39",0,1,""
"238","4","39",1,0.5,""
"239","5","39",0,0,""
"240","6","39",0,0,""
"241","1","9",0,1,""
"242","2","9",0,1,""
"243","3","9",0,1,""
"244","4","9",0,1,""
"245","5","9",1,0.5,""
"246","6","9",0,0,""
"247","1","66",1,0.5,""
"248","2","66",0,0,""
"249","3","66",0,0,""
"250","4","66",0,0,""
"251","5","66",0,0,""
"252","6","66",0,0,""
"253","1","50",0,1,""
"254","2","50",1,0.5,""
"255","3","50",0,0,""
"256","4","50",0,0,""
"257","5","50",0,0,""
"258","6","50",0,0,""
"259","1","91",1,0.5,""
"260","2","91",0,0,""
"261","3","91",0,0,""
"262","4","91",0,0,""
"263","5","91",0,0,""
"264","6","91",0,0,""
"265","1","42",1,0.5,""
"266","2","42",0,0,""
"267","3","42",0,0,""
"268","4","42",0,0,""
"269","5","42",0,0,""
"270","6","42",0,0,""
"271","1","28",0,1,""
"272","2","28",0,1,""
"273","3","28",0,1,""
"274","4","28",1,0.5,""
"275","5","28",0,0,""
"276","6","28",0,0,""
"277","1","89",0,1,""
"278","2","89",1,0.5,""
"279","3","89",0,0,""
"280","4","89",0,0,""
"281","5","89",0,0,""
"282","6","89",0,0,""
"283","1","83",1,0.5,""
"284","2","83",0,0,""
"285","3","83",0,0,""
"286","4","83",0,0,""
"287","5","83",0,0,""
"288","6","83",0,0,""
"289","1","32",1,0.5,""
"290","2","32",0,0,""
"291","3","32",0,0,""
"292","4","32",0,0,""
"293","5","32",0,0,""
"294","6","32",0,0,""
"295","1","48",0,1,""
"296","2","48",0,1,""
"297","3","48",0,1,""
"298","4","48",0,1,""
"299","5","48",1,0.5,""
"300","6","48",0,0,""
"301","1","40",0,1,""
"302","2","40",0,1,""
"303","3","40",0,1,""
"304","4","40",0,1,""
"305","5","40",1,0.5,""
"306","6","40",0,0,""
"307","1","33",1,0.5,""
"308","2","33",0,0,""
"309","3","33",0,0,""
