Chip Run Info,F:\1363029192\ChipRun.bml,1363029192,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/7/25 19:02,1:43:02,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined,
Application Version,4.7.1,,,,,,,,,,,,,
Application Build,20200930.17,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,
Baseline Correction Method,Linear (Derivative),,,,,,,,,,,,,
Ct Threshold Method,Auto (Global),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,,
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,,
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,,
S96-A33,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL18R1,Test,999,0,Flag,0.023073164,999,999,0,,IL18R1
S96-A34,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,JAK2,Test,999,0,Flag,0.023073164,999,999,0,,JAK2
S96-A35,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,OASL1,Test,23.44836962,0,Flag,0.023073164,999,72.56157543,0,,OASL1
S96-A36,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TGFBR2,Test,999,0,Flag,0.023073164,999,999,0,,TGFBR2
S96-A37,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CCR4,Test,999,0,Flag,0.023073164,999,999,0,,CCR4
S96-A38,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD86,Test,999,0,Flag,0.023073164,999,999,0,,CD86
S96-A39,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,HPRT,Test,14.39049228,1,Pass,0.023073164,80.31552212,999,1,,HPRT
S96-A40,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL-21,Test,16.89134255,1,Pass,0.023073164,79.64194992,999,1,,IL-21
S96-A41,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL5RA,Test,999,0,Flag,0.023073164,999,999,0,,IL5RA
S96-A42,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PTEN,Test,13.10297287,1,Pass,0.023073164,78.18948688,999,1,,PTEN
S96-A43,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CCR7,Test,999,0,Flag,0.023073164,999,999,0,,CCR7
S96-A44,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ICOS,Test,999,0,Flag,0.023073164,999,999,0,,ICOS
S96-A45,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL27R,Test,999,0,Flag,0.023073164,999,999,0,,IL27R
S96-A46,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,LY6E,Test,11.49465585,1,Pass,0.023073164,80.6141665,66.73079982,0.977470729,,LY6E
S96-A47,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PD1,Test,999,0,Flag,0.023073164,999,999,0,,PD1
S96-A48,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TNFAIP3,Test,16.38185964,1,Pass,0.023073164,81.92791168,999,1,,TNFAIP3
S96-A54,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TBX21,Test,999,0,Flag,0.023073164,999,999,0,,TBX21
S96-A53,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL6,Test,999,0,Flag,0.023073164,999,999,0,,IL6
S96-A52,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL25,Test,22.72636283,1,Pass,0.023073164,85.74902502,64.66610757,0.861295644,,IL25
S96-A51,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ICAM1,Test,18.97813869,0,Flag,0.023073164,999,85.60707204,0,,ICAM1
S96-A50,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD8A,Test,20.19192932,0,Flag,0.023073164,85.70348123,75.21873216,0.184615756,,CD8A
S96-A49,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CCR5,Test,999,0,Flag,0.023073164,999,999,0,,CCR5
